epoch,loss,test_acc,train_acc
1,3513.7558765411377,6.61,6.658057110058832
2,2909.624021053314,19.23,18.309657052661787
3,2523.8793365955353,22.59,21.45214521452145
4,2291.6808693408966,29.66,30.420433347682593
5,2139.8284504413605,31.76,31.812311665949203
6,2003.3620250225067,35.61,36.648012627349694
7,1895.7373678684235,37.42,38.958243650452005
8,1811.0461599826813,37.62,40.16358157554886
9,1735.1868424415588,40.08,43.63610274070885
10,1668.3625655174255,41.34,44.927536231884055
11,1468.1161705255508,45.14,50.423303199885204
12,1412.8350205421448,45.63,52.862677572105035
13,1374.6334133148193,45.97,52.30305639259578
14,1351.6100362539291,45.6,52.877026833118094
15,1313.8616428375244,46.97,54.48414406658057
16,1287.2107640504837,47.27,55.373798249390155
17,1254.2154455780983,47.59,57.48313961830966
18,1223.0229287147522,46.15,56.60783469651313
19,1205.7225909233093,48.08,59.87946620749032
20,1175.142447412014,46.51,58.415841584158414
21,1040.8878185153008,49.81,63.567226287846175
22,1005.7937170863152,49.79,65.86310804993543
23,984.7526175379753,49.82,66.4514277514708
24,962.9631589055061,50.09,66.69536518869278
25,945.5603927373886,50.05,66.37968144640551
26,933.6159256696701,50.07,67.16889080212368
27,920.4749906659126,49.72,66.996699669967
28,898.6017029881477,49.45,67.39847897833262
29,881.8058012127876,49.6,68.41727651025973
30,866.7494280338287,49.51,69.19213660496484
31,773.6834614574909,51.03,71.91849619744583
32,750.1203042268753,50.75,72.75075333620319
33,734.7976925969124,50.84,73.697804563065
34,726.616199195385,50.38,73.4251686038169
35,716.0083490908146,50.21,74.20002869852203
36,707.3843649625778,50.79,74.8887932271488
37,696.4800273180008,50.34,74.94619027120103
38,680.4874676764011,50.54,75.23317549146219
39,673.6208722293377,50.94,75.31927105754053
40,666.9079662561417,50.2,75.67800258286698
41,603.8071803450584,51.69,77.37121538240781
42,592.3206496536732,50.67,77.83039173482565
43,588.366801649332,50.8,77.83039173482565
44,578.0516397953033,50.49,77.70124838570814
45,570.17713367939,50.92,78.906586310805
46,568.4619462788105,50.9,79.16487300904004
47,561.6064922511578,50.46,78.80614148371359
48,554.1068350374699,50.5,79.32271488018367
49,551.2759964466095,50.46,80.25541684603243
50,539.4070945680141,50.85,79.89668532070598
